project,bug_id,status,num_test_files_generated,elapsed_sec,timestamp
Chart,1,success,2,196.15,2026-09-19T10:34:43
Cli,1,success,2,59.38,2026-09-20T04:08:10
Closure,1,success,2,210.82,2026-09-19T10:44:54
Codec,1,success,6,73.38,2026-09-19T10:46:56
Collections,1,success,2,193.68,2026-09-19T10:51:19
Compress,1,success,2,171.75,2026-09-19T10:58:24
Csv,1,success,2,164.38,2026-09-19T11:01:44
Gson,1,success,2,162.18,2026-09-19T11:04:43
JacksonCore,1,success,2,181.05,2026-09-19T11:07:56
JacksonDatabind,1,success,2,200.6,2026-09-19T11:12:29
JacksonXml,1,success,2,166.37,2026-09-19T11:18:41
Jsoup,1,success,2,19.43,2026-09-19T11:19:20
JxPath,1,success,4,206.21,2026-09-19T11:23:17
Lang,1,success,2,190.16,2026-09-19T11:34:23
Lang,3,success,2,181.44,2026-09-19T01:14:48
Math,1,success,4,221.74,2026-09-19T11:41:27
Mockito,1,success,2,283.29,2026-09-19T11:49:49
Time,1,success,4,160.38,2026-09-19T11:55:25
